CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR
49,HP50SE 29,"Unst, Belmont","Farmstead (Norse), Settlement (Period Unassigned)",456830,1200700,SHETLAND ISLANDS,SHETLAND,UNST,HP 5683 0070
28,HP50SE 1,"Unst, Underhoull","Farmstead (Norse), Field System (Period Unassigned), Settlement (Viking), Souterrain (Prehistoric)",457340,1204350,SHETLAND ISLANDS,SHETLAND,UNST,HP 5734 0435
113014,HP60NW 22,"Unst, Baltasound, Hamar",Settlement (Norse),464600,1209400,SHETLAND ISLANDS,SHETLAND,UNST,HP 6460 0940
150,HP61SE 1,"Unst, Norwick, St John's Church And Churchyard","Broch (Iron Age)(Possible), Burial Ground (Period Unassigned), Church (Period Unassigned), War Memorial (20th Century)",465170,1214100,SHETLAND ISLANDS,SHETLAND,UNST,HP 6517 1410
274117,HP60SW 66,"Unst, Easting, Sandwick","Building (Iron Age), Hearth (Period Unassigned), Inhumation (Period Unassigned), Mound (Period Unassigned), Bead (Steatite), Unidentified Pottery",461800,1202500,SHETLAND ISLANDS,SHETLAND,UNST,HP 6180 0250
93,HP60NW 10,"Unst, Baliasta, Old Unst Church And Churchyard With Memorial Enclosures","Burial Enclosure (Period Unassigned), Burial Ground (Period Unassigned), Church (18th Century), Churchyard (Period Unassigned)",460256,1209582,SHETLAND ISLANDS,SHETLAND,UNST,HP 60256 09582
141,HP60SW 9,"Unst, Sandwick",Settlement (Norse),461870,1202230,SHETLAND ISLANDS,SHETLAND,UNST,HP 6187 0223
194838,HP50SE 98,"Unst, Uyeasound","Cairn (Period Unassigned)(Possible), Farmstead (Norse), Mound (Period Unassigned), Standing Stone (Prehistoric)",458860,1201010,SHETLAND ISLANDS,SHETLAND,UNST,HP 5886 0101
293793,HP60SW 71,"Unst, Easting, Sandwick","Building (Period Unassigned), Hearth (Period Unassigned), Inhumation (Period Unassigned), Midden (Period Unassigned), Pottery Scatter (Period Unassigned), Anvil (Possible)",461950,1202170,SHETLAND ISLANDS,SHETLAND,UNST,HP 61950 02170
293794,HP50SE 121,"Unst, Uyeasound Pier",Pier (Period Unassigned),459800,1200700,SHETLAND ISLANDS,SHETLAND,UNST,HP 598 007
64,HP50SE 6,"Unst, Lund, St Olaf's Chapel And Churchyard","Burial Ground (Period Unassigned), Chapel (Period Unassigned), Church (12th Century), Churchyard (Period Unassigned)",456693,1204094,SHETLAND ISLANDS,SHETLAND,UNST,HP 56693 04094
100,HP60NW 19,"Unst, Helliers Water","Building (Period Unassigned), Enclosure (Period Unassigned)",460800,1205200,SHETLAND ISLANDS,SHETLAND,UNST,HP 608 052
120,HP60SW 2,"Unst, Muness Castle","Castle (Medieval), Formal Garden (Period Unassigned)(Possible), Fortified House (Period Unassigned), Lairds House (Period Unassigned)",462955,1201164,SHETLAND ISLANDS,SHETLAND,UNST,HP 62955 01164
126,HP60SW 25,"Unst, Sandwick","Farmstead (Norse), Comb(S) (Bone)(Viking)",461700,1202600,SHETLAND ISLANDS,SHETLAND,UNST,HP 617 026
168,HP61SW 2,"Unst, Muckle Heog West",Chambered Cairn (Neolithic),463060,1210850,SHETLAND ISLANDS,SHETLAND,UNST,HP 6306 1085
175,HP61SW 26,"Unst, Burrafirth, Norse Mill",Horizontal Mill (Period Unassigned),460720,1214060,SHETLAND ISLANDS,SHETLAND,UNST,HP 6072 1406
82970,HP60NW 20,"Unst, Skeo Taing",Gouge (Possible),464300,1208500,SHETLAND ISLANDS,SHETLAND,UNST,HP 643 085
188765,HP61SW 78,"Unst, Stackhoull",Farmstead (Period Unassigned),460930,1214220,SHETLAND ISLANDS,SHETLAND,UNST,HP 6093 1422
188880,HP60NW 69,"Unst, Hill Of Caldback","Enclosure (Period Unassigned), Field System (Period Unassigned), Structure(S) (Period Unassigned)",460730,1206730,SHETLAND ISLANDS,SHETLAND,UNST,HP 6073 0673
194672,HP61NE 16,"Unst, Skaw",Building (Period Unassigned),465690,1216430,SHETLAND ISLANDS,SHETLAND,UNST,HP 6569 1643
194693,HP61NE 19,"Unst, Braehead",Building(S) (Period Unassigned),465080,1215060,SHETLAND ISLANDS,SHETLAND,UNST,HP 6508 1506
194715,HP61SW 92,"Unst, Clibberswick",Field Boundary (Period Unassigned),464680,1212640,SHETLAND ISLANDS,SHETLAND,UNST,HP 6468 1264
194718,HP61SW 93,"Unst, Haroldswick",Building (Period Unassigned),463860,1212460,SHETLAND ISLANDS,SHETLAND,UNST,HP 6386 1246
194727,HP61SW 94,"Unst, Haroldswick",Planticrub(S) (Period Unassigned),463310,1212410,SHETLAND ISLANDS,SHETLAND,UNST,HP 6331 1241
194730,HP61SW 95,"Unst, Buddigarth",Sheep Shelter (Period Unassigned),462700,1212530,SHETLAND ISLANDS,SHETLAND,UNST,HP 6270 1253
194732,HP61SW 96,"Unst, Westergarth",Cultivation Remains (Period Unassigned),462580,1212710,SHETLAND ISLANDS,SHETLAND,UNST,HP 6258 1271
194736,HP61SW 97,"Unst, Stove",Planticrub(S) (Period Unassigned),462230,1212370,SHETLAND ISLANDS,SHETLAND,UNST,HP 6223 1237
194742,HP61SW 99,"Unst, Quoys",Dyke (Period Unassigned),461600,1212660,SHETLAND ISLANDS,SHETLAND,UNST,HP 6160 1266
194744,HP61SW 100,"Unst, Quoys",Farmstead (Period Unassigned),461560,1212620,SHETLAND ISLANDS,SHETLAND,UNST,HP 6156 1262
194766,HP61SW 102,"Unst, Burrafirth",Farmstead (Period Unassigned),461460,1213500,SHETLAND ISLANDS,SHETLAND,UNST,HP 6146 1350
194768,HP61SW 103,"Unst, Haroldswick",Ring Cairn (Neol/bronze Age),463230,1212090,SHETLAND ISLANDS,SHETLAND,UNST,HP 6323 1209
194770,HP61SW 104,"Unst, Ungirsta",Standing Stone (Prehistoric),463210,1212030,SHETLAND ISLANDS,SHETLAND,UNST,HP 6321 1203
194772,HP50NE 52,"Unst, Burn Of Houllnastoura",Planticrub (Period Unassigned),459710,1208540,SHETLAND ISLANDS,SHETLAND,UNST,HP 5971 0854
194773,HP50NE 53,"Unst, Ayre Of Collaster",Planticrub (Period Unassigned),457420,1206030,SHETLAND ISLANDS,SHETLAND,UNST,HP 5742 0603
194774,HP50NE 54,"Unst, Loch Of Watlee",Stone Setting (Neol/bronze Age),459150,1205950,SHETLAND ISLANDS,SHETLAND,UNST,HP 5915 0595
194775,HP50NE 55,"Unst, Loch Of Watlee",Building (Period Unassigned),459410,1206010,SHETLAND ISLANDS,SHETLAND,UNST,HP 5941 0601
194776,HP50NE 56,"Unst, Loch Of Watlee","Enclosure (Period Unassigned), Planticrub (Period Unassigned)",459190,1205930,SHETLAND ISLANDS,SHETLAND,UNST,HP 5919 0593
194803,HP50SE 92,"Unst, Uyeasound",Planticrub (Period Unassigned),459133,1201919,SHETLAND ISLANDS,SHETLAND,UNST,HP 59133 01919
194804,HP50SE 93,"Unst, Burn Of Scord",Sheep Shelter (Period Unassigned),458070,1201540,SHETLAND ISLANDS,SHETLAND,UNST,HP 5807 0154
194806,HP50SE 94,"Unst, Burn Of Scord",Dyke (Period Unassigned),457640,1201350,SHETLAND ISLANDS,SHETLAND,UNST,HP 5764 0135
194832,HP50SE 96,"Unst, Setters Of Belmont",Dyke (Period Unassigned),456950,1200940,SHETLAND ISLANDS,SHETLAND,UNST,HP 5695 0094
194837,HP50SE 97,"Unst, Belmont",Dyke (Period Unassigned),456710,1200710,SHETLAND ISLANDS,SHETLAND,UNST,HP 5671 0071
194842,HP50SE 99,"Unst, Uyeasound",Horizontal Mill (Period Unassigned),459340,1201720,SHETLAND ISLANDS,SHETLAND,UNST,HP 5934 0172
194849,HP60SW 59,"Unst, Too Burn",Planticrub (Period Unassigned),460379,1201502,SHETLAND ISLANDS,SHETLAND,UNST,HP 60379 01502
194853,HP60SW 60,"Unst, Greenbreck","Bank (Earthwork) (Period Unassigned)(Possible), Planticrub (Period Unassigned)",461120,1201449,SHETLAND ISLANDS,SHETLAND,UNST,HP 61120 01449
194857,HP60SW 61,"Unst, Breck Of Still",Pen (Period Unassigned),461227,1201516,SHETLAND ISLANDS,SHETLAND,UNST,HP 61227 01516
194868,HP60NW 70,"Unst, Baltasound",Farmstead (Period Unassigned),462750,1209410,SHETLAND ISLANDS,SHETLAND,UNST,HP 6275 0941
194893,HP60NW 71,"Unst, Baliasta",Farmstead (Period Unassigned),461170,1209230,SHETLAND ISLANDS,SHETLAND,UNST,HP 6117 0923
194902,HP60NW 72,"Unst, Baltasound",Well (Period Unassigned),461750,1209320,SHETLAND ISLANDS,SHETLAND,UNST,HP 6175 0932
194904,HP60NW 73,"Unst, Baltasound",Sheep Shelter (Period Unassigned),462330,1208300,SHETLAND ISLANDS,SHETLAND,UNST,HP 6233 0830
